state,area,year,quarter,medianAcreage,nominalPrice,nominalPercent,nominalGrowth,realPrice,realPercent,annualVolume,qtrVolume
Texas,Panhandle - North (LMA 1),1997,0,600,377,-12.63,-0.14,93,-14.11,95,null
Texas,Panhandle - North (LMA 1),1998,0,320,350,-7.16,0,85,-8.19,73,null
Texas,Panhandle - North (LMA 1),1999,0,480,350,0,-2.41,84,-1.42,87,null
Texas,Panhandle - North (LMA 1),2000,0,497,400,14.29,1.96,94,11.79,59,null
Texas,Panhandle - North (LMA 1),2001,0,640,304,-24.05,-6.78,70,-25.68,62,null
Texas,Panhandle - North (LMA 1),2002,0,640,472,55.37,4.6,107,52.96,71,null
Texas,Panhandle - North (LMA 1),2003,0,480,379,-19.61,1.63,84,-21.07,78,null
Texas,Panhandle - North (LMA 1),2004,0,484,486,28.05,6.78,105,24.69,89,null
Texas,Panhandle - North (LMA 1),2005,0,635,550,13.18,6.58,115,9.76,93,null
Texas,Panhandle - North (LMA 1),2006,0,616,651,18.37,16.47,132,14.88,75,null
Texas,Panhandle - North (LMA 1),2007,0,640,730,12.13,9.11,144,9.2,79,null
Texas,Panhandle - North (LMA 1),2008,0,640,1078,47.69,23.22,209,44.86,95,null
Texas,Panhandle - North (LMA 1),2009,0,635,883,-18.14,12.68,170,-18.76,66,null
Texas,Panhandle - North (LMA 1),2010,0,524,887,0.51,10.03,169,-0.65,53,null
Texas,Panhandle - North (LMA 1),2011,0,647,1400,57.84,16.55,261,54.6,45,null
Texas,Panhandle - North (LMA 1),2012,0,640,1800,28.57,19.78,329,26.15,97,null
Texas,Panhandle - North (LMA 1),2013,0,640,1562,-13.19,7.7,281,-14.69,39,null
Texas,Panhandle - North (LMA 1),2014,0,631,1551,-0.72,11.94,274,-2.52,55,null
Texas,Panhandle - North (LMA 1),2015,0,363,1362,-12.22,8.95,238,-13.05,52,null
Texas,Panhandle - North (LMA 1),2016,0,685,2204,61.87,9.5,381,60.19,44,null
Texas,Panhandle - North (LMA 1),2017,0,640,1753,-20.49,-0.53,298,-21.95,48,null
Texas,Panhandle - North (LMA 1),2018,0,640,1595,-8.99,0.41,265,-11.12,65,null
Texas,Panhandle - North (LMA 1),2019,0,640,1550,-2.81,-0.02,253,-4.52,55,null
Texas,Panhandle - North (LMA 1),2020,0,640,1355,-12.58,-0.1,218,-13.62,62,null
Texas,Panhandle - Central (LMA 2),1971,0,320,250,19.05,-0.4,201,13.31,152,null
Texas,Panhandle - Central (LMA 2),1972,0,320,220,-12,-1.56,169,-15.64,187,null
Texas,Panhandle - Central (LMA 2),1973,0,320,312,41.82,2.56,228,34.44,205,null
Texas,Panhandle - Central (LMA 2),1974,0,320,300,-3.85,1.76,201,-11.81,252,null
Texas,Panhandle - Central (LMA 2),1975,0,320,325,8.33,9.13,199,-0.81,193,null
Texas,Panhandle - Central (LMA 2),1976,0,320,301,-7.38,3.78,175,-12.23,213,null
Texas,Panhandle - Central (LMA 2),1977,0,320,306,1.66,6.82,167,-4.27,163,null
Texas,Panhandle - Central (LMA 2),1978,0,320,324,5.88,0.76,166,-1.05,160,null
Texas,Panhandle - Central (LMA 2),1979,0,320,372,14.81,4.4,176,5.98,161,null
Texas,Panhandle - Central (LMA 2),1980,0,320,400,7.53,4.24,173,-1.39,134,null
Texas,Panhandle - Central (LMA 2),1981,0,320,500,25,10.68,198,14.2,145,null
Texas,Panhandle - Central (LMA 2),1982,0,320,476,-4.8,9.24,177,-10.34,97,null
Texas,Panhandle - Central (LMA 2),1983,0,323,399,-16.18,4.25,143,-19.32,117,null
Texas,Panhandle - Central (LMA 2),1984,0,320,400,0.25,1.46,138,-3.25,125,null
Texas,Panhandle - Central (LMA 2),1985,0,320,375,-6.25,-1.28,126,-9.13,133,null
Texas,Panhandle - Central (LMA 2),1986,0,320,300,-20,-9.71,99,-21.58,132,null
Texas,Panhandle - Central (LMA 2),1987,0,320,263,-12.33,-11.19,84,-14.44,107,null
Texas,Panhandle - Central (LMA 2),1988,0,320,325,23.57,-4.02,101,19.37,159,null
Texas,Panhandle - Central (LMA 2),1989,0,320,305,-6.26,-5.3,91,-9.8,146,null
Texas,Panhandle - Central (LMA 2),1990,0,320,349,14.53,-1.43,100,10.39,95,null
Texas,Panhandle - Central (LMA 2),1991,0,320,307,-12.02,0.46,85,-14.89,91,null
Texas,Panhandle - Central (LMA 2),1992,0,322,350,14.01,5.88,95,11.47,99,null
Texas,Panhandle - Central (LMA 2),1993,0,320,325,-7.14,0,86,-9.29,79,null
Texas,Panhandle - Central (LMA 2),1994,0,337,324,-0.31,1.24,84,-2.39,153,null
Texas,Panhandle - Central (LMA 2),1995,0,324,301,-7.1,-2.91,77,-9.01,91,null
Texas,Panhandle - Central (LMA 2),1996,0,320,350,16.28,2.66,87,14.19,87,null
Texas,Panhandle - Central (LMA 2),1997,0,320,350,0,0,86,-1.7,163,null
Texas,Panhandle - Central (LMA 2),1998,0,337,304,-13.14,-1.33,74,-14.11,178,null
Texas,Panhandle - Central (LMA 2),1999,0,386,325,6.91,0.06,78,5.39,133,null
Texas,Panhandle - Central (LMA 2),2000,0,320,326,0.15,1.58,76,-2.04,150,null
Texas,Panhandle - Central (LMA 2),2001,0,400,325,-0.15,-1.47,75,-2.3,161,null
Texas,Panhandle - Central (LMA 2),2002,0,327,383,17.74,1.8,86,15.91,187,null
Texas,Panhandle - Central (LMA 2),2003,0,323,440,14.99,7.68,98,12.9,143,null
Texas,Panhandle - Central (LMA 2),2004,0,366,423,-3.79,5.43,91,-6.31,145,null
Texas,Panhandle - Central (LMA 2),2005,0,434,450,6.3,6.69,94,3.09,131,null
Texas,Panhandle - Central (LMA 2),2006,0,402,549,22.01,11.06,112,18.42,165,null
Texas,Panhandle - Central (LMA 2),2007,0,377,600,9.28,9.41,119,6.42,154,null
Texas,Panhandle - Central (LMA 2),2008,0,332,777,29.57,12.06,151,27.09,159,null
Texas,Panhandle - Central (LMA 2),2009,0,320,660,-15.1,9.29,127,-15.74,84,null
Texas,Panhandle - Central (LMA 2),2010,0,324,800,21.21,12.2,152,19.82,68,null
Texas,Panhandle - Central (LMA 2),2011,0,365,947,18.36,11.52,177,15.93,75,null
Texas,Panhandle - Central (LMA 2),2012,0,543,949,0.18,9.59,174,-1.7,143,null
Texas,Panhandle - Central (LMA 2),2013,0,525,1140,20.13,7.95,205,18.06,109,null
Texas,Panhandle - Central (LMA 2),2014,0,324,1025,-10.01,9.21,181,-11.64,85,null
Texas,Panhandle - Central (LMA 2),2015,0,449,1000,-2.48,4.56,175,-3.4,86,null
Texas,Panhandle - Central (LMA 2),2016,0,423,1058,5.83,2.25,183,4.74,78,null
Texas,Panhandle - Central (LMA 2),2017,0,329,1051,-0.72,2.07,178,-2.55,152,null
Texas,Panhandle - Central (LMA 2),2018,0,352,1150,9.5,0.19,191,6.93,124,null
Texas,Panhandle - Central (LMA 2),2019,0,332,1169,1.61,2.66,191,-0.17,128,null
Texas,Panhandle - Central (LMA 2),2020,0,346,1100,-5.9,1.92,177,-7.02,133,null
Texas,South Plains (LMA 3),1971,0,220,250,0,-4.02,201,-4.82,148,null
Texas,South Plains (LMA 3),1972,0,218,281,12.4,-1.3,216,7.76,159,null
Texas,South Plains (LMA 3),1973,0,300,318,13.17,2.95,232,7.28,155,null
Texas,South Plains (LMA 3),1974,0,300,400,25.79,6.64,268,15.37,189,null
Texas,South Plains (LMA 3),1975,0,230,407,1.75,10.24,250,-6.84,108,null
Texas,South Plains (LMA 3),1976,0,240,419,2.95,10.88,243,-2.44,155,null
Texas,South Plains (LMA 3),1977,0,240,500,19.33,12.22,274,12.37,169,null
Texas,South Plains (LMA 3),1978,0,200,568,13.5,12.28,290,6.06,130,null
Texas,South Plains (LMA 3),1979,0,278,525,-7.49,5.59,248,-14.61,92,null
Texas,South Plains (LMA 3),1980,0,222,750,42.86,13,325,31,96,null
Texas,South Plains (LMA 3),1981,0,240,700,-6.67,10.81,277,-14.73,114,null
Texas,South Plains (LMA 3),1982,0,260,750,7.21,8.46,279,0.98,68,null
Texas,South Plains (LMA 3),1983,0,232,650,-13.39,2.75,233,-16.64,68,null
Texas,South Plains (LMA 3),1984,0,299,550,-15.38,0.93,190,-18.34,73,null
Texas,South Plains (LMA 3),1985,0,294,510,-7.18,-7.41,171,-10.03,58,null
Texas,South Plains (LMA 3),1986,0,286,350,-31.44,-12.94,115,-32.8,55,null
Texas,South Plains (LMA 3),1987,0,319,330,-5.71,-15.15,106,-7.98,111,null
Texas,South Plains (LMA 3),1988,0,278,390,18.18,-9.71,121,14.16,120,null
Texas,South Plains (LMA 3),1989,0,240,450,15.3,-3.95,134,10.94,125,null
Texas,South Plains (LMA 3),1990,0,264,450,0.07,-2.49,129,-3.54,88,null
Texas,South Plains (LMA 3),1991,0,307,420,-6.67,3.71,117,-9.71,91,null
Texas,South Plains (LMA 3),1992,0,251,400,-4.76,3.92,109,-6.88,67,null
Texas,South Plains (LMA 3),1993,0,258,400,0,0.51,106,-2.32,90,null
Texas,South Plains (LMA 3),1994,0,279,431,7.75,-0.84,112,5.5,116,null
Texas,South Plains (LMA 3),1995,0,190,450,4.41,0,115,2.26,71,null
Texas,South Plains (LMA 3),1996,0,279,450,0,1.39,112,-1.8,109,null
Texas,South Plains (LMA 3),1997,0,313,418,-7.22,0.86,103,-8.8,126,null
Texas,South Plains (LMA 3),1998,0,270,450,7.78,2.38,109,6.59,125,null
Texas,South Plains (LMA 3),1999,0,313,450,0,0.87,108,-1.42,136,null
Texas,South Plains (LMA 3),2000,0,240,450,0,0,105,-2.19,137,null
Texas,South Plains (LMA 3),2001,0,303,459,2.08,0.41,105,-0.11,122,null
Texas,South Plains (LMA 3),2002,0,313,423,-7.82,0.28,96,-9.26,122,null
Texas,South Plains (LMA 3),2003,0,300,461,8.82,0.47,102,6.84,150,null
Texas,South Plains (LMA 3),2004,0,280,496,7.54,1.95,107,4.72,184,null
Texas,South Plains (LMA 3),2005,0,318,539,8.72,3.67,113,5.44,164,null
Texas,South Plains (LMA 3),2006,0,320,573,6.39,4.53,116,3.26,151,null
Texas,South Plains (LMA 3),2007,0,320,700,22.12,10.58,138,18.93,97,null
Texas,South Plains (LMA 3),2008,0,320,750,7.14,10.23,146,5.09,171,null
Texas,South Plains (LMA 3),2009,0,315,775,3.33,9.36,149,2.56,85,null
Texas,South Plains (LMA 3),2010,0,293,700,-9.68,5.38,133,-10.71,125,null
Texas,South Plains (LMA 3),2011,0,320,850,21.43,8.2,158,18.94,74,null
Texas,South Plains (LMA 3),2012,0,320,1062,25,8.7,194,22.65,95,null
Texas,South Plains (LMA 3),2013,0,320,971,-8.65,5.29,175,-10.23,74,null
Texas,South Plains (LMA 3),2014,0,320,1298,33.75,10.87,229,31.33,101,null
Texas,South Plains (LMA 3),2015,0,229,1072,-17.43,8.9,187,-18.21,76,null
Texas,South Plains (LMA 3),2016,0,320,1200,11.95,7.14,208,10.79,87,null
Texas,South Plains (LMA 3),2017,0,317,1200,0,2.46,204,-1.84,83,null
Texas,South Plains (LMA 3),2018,0,320,1095,-8.72,2.45,182,-10.86,100,null
Texas,South Plains (LMA 3),2019,0,320,1100,0.43,-3.26,179,-1.33,115,null
Texas,South Plains (LMA 3),2020,0,320,1150,4.55,1.42,185,3.3,129,null
Texas,Permian - West (LMA 4),1971,0,220,179,-8.21,1.04,144,-12.63,224,null
Texas,Permian - West (LMA 4),1972,0,320,175,-2.23,0,135,-6.27,240,null
Texas,Permian - West (LMA 4),1973,0,320,210,20,3.71,153,13.76,274,null
Texas,Permian - West (LMA 4),1974,0,291,250,19.05,6.5,167,9.19,354,null
Texas,Permian - West (LMA 4),1975,0,320,250,0,5.09,153,-8.44,156,null
Texas,Permian - West (LMA 4),1976,0,236,300,20,10.88,174,13.72,233,null
Texas,Permian - West (LMA 4),1977,0,240,312,4.17,12.3,171,-1.91,256,null
Texas,Permian - West (LMA 4),1978,0,320,338,8.32,10.02,173,1.22,176,null
Texas,Permian - West (LMA 4),1979,0,240,400,18.17,9.86,189,9.08,139,null
Texas,Permian - West (LMA 4),1980,0,291,472,18,13.55,204,8.21,120,null
Texas,Permian - West (LMA 4),1981,0,177,500,5.93,10.76,198,-3.22,141,null
Texas,Permian - West (LMA 4),1982,0,320,492,-1.7,9.48,183,-7.42,48,null
Texas,Permian - West (LMA 4),1983,0,246,469,-4.58,6.74,168,-8.15,73,null
Texas,Permian - West (LMA 4),1984,0,319,455,-2.99,2.61,157,-6.37,86,null
Texas,Permian - West (LMA 4),1985,0,304,300,-34.07,-8.67,101,-36.09,78,null
Texas,Permian - West (LMA 4),1986,0,320,274,-8.67,-11.33,90,-10.47,83,null
Texas,Permian - West (LMA 4),1987,0,305,249,-9.12,-12.72,80,-11.31,131,null
Texas,Permian - West (LMA 4),1988,0,265,325,30.52,-7.07,101,26.08,137,null
Texas,Permian - West (LMA 4),1989,0,311,425,30.77,-1.35,127,25.83,133,null
Texas,Permian - West (LMA 4),1990,0,240,404,-4.94,6.13,116,-8.38,151,null
Texas,Permian - West (LMA 4),1991,0,316,350,-13.37,5.02,97,-16.2,112,null
Texas,Permian - West (LMA 4),1992,0,312,350,0,7.05,95,-2.23,95,null
Texas,Permian - West (LMA 4),1993,0,239,375,7.14,2.9,100,4.66,93,null
Texas,Permian - West (LMA 4),1994,0,313,350,-6.67,-3.81,91,-8.62,115,null
Texas,Permian - West (LMA 4),1995,0,320,417,19.14,0.64,106,16.69,75,null
Texas,Permian - West (LMA 4),1996,0,257,447,7.19,5.01,112,5.27,64,null
Texas,Permian - West (LMA 4),1997,0,320,382,-14.65,1.74,94,-16.1,90,null
Texas,Permian - West (LMA 4),1998,0,320,430,12.71,2.78,104,11.46,107,null
Texas,Permian - West (LMA 4),1999,0,258,476,10.7,6.34,114,9.12,98,null
Texas,Permian - West (LMA 4),2000,0,299,493,3.57,3.41,116,1.31,84,null
Texas,Permian - West (LMA 4),2001,0,213,400,-18.86,-2.2,92,-20.61,139,null
Texas,Permian - West (LMA 4),2002,0,320,400,0,0.95,90,-1.56,214,null
Texas,Permian - West (LMA 4),2003,0,320,466,16.42,1.61,103,14.31,218,null
Texas,Permian - West (LMA 4),2004,0,320,500,7.37,0.99,108,4.55,172,null
Texas,Permian - West (LMA 4),2005,0,320,463,-7.31,-1.23,97,-10.11,196,null
Texas,Permian - West (LMA 4),2006,0,320,510,10.04,4.98,104,6.8,215,null
Texas,Permian - West (LMA 4),2007,0,320,622,21.96,9.23,123,18.77,171,null
Texas,Permian - West (LMA 4),2008,0,320,750,20.58,10,146,18.27,221,null
Texas,Permian - West (LMA 4),2009,0,320,700,-6.69,6.96,135,-7.39,108,null
Texas,Permian - West (LMA 4),2010,0,320,750,7.17,10.11,143,5.94,152,null
Texas,Permian - West (LMA 4),2011,0,320,624,-16.74,4.13,116,-18.44,143,null
Texas,Permian - West (LMA 4),2012,0,315,1000,60.13,9.96,183,57.12,118,null
Texas,Permian - West (LMA 4),2013,0,245,1000,0,5.92,180,-1.72,100,null
Texas,Permian - West (LMA 4),2014,0,271,888,-11.25,4.87,157,-12.86,78,null
Texas,Permian - West (LMA 4),2015,0,320,850,-4.23,2.53,149,-5.13,94,null
Texas,Permian - West (LMA 4),2016,0,268,926,8.95,8.2,160,7.82,95,null
Texas,Permian - West (LMA 4),2017,0,320,995,7.49,-0.09,169,5.51,101,null
Texas,Permian - West (LMA 4),2018,0,320,870,-12.6,-2.75,144,-14.65,129,null
Texas,Permian - West (LMA 4),2019,0,320,1000,14.94,2.42,163,12.93,114,null
Texas,Permian - West (LMA 4),2020,0,317,1064,6.42,4.6,171,5.16,162,null
Texas,Canadian Breaks (LMA 5),1971,0,320,90,-28,-8.78,72,-31.47,null,null
Texas,Canadian Breaks (LMA 5),1972,0,320,110,22.22,-7.84,85,17.17,null,null
Texas,Canadian Breaks (LMA 5),1973,0,640,100,-9.09,-9.64,73,-13.82,null,null
Texas,Canadian Breaks (LMA 5),1974,0,358,164,64.5,1.59,110,50.88,24,null
Texas,Canadian Breaks (LMA 5),1975,0,511,200,21.58,9.86,123,11.32,33,null
Texas,Canadian Breaks (LMA 5),1976,0,640,175,-12.5,14.22,102,-17.08,null,null
Texas,Canadian Breaks (LMA 5),1977,0,322,200,14.29,12.7,109,7.61,null,null
Texas,Canadian Breaks (LMA 5),1978,0,449,185,-7.5,13.09,95,-13.56,23,null
Texas,Canadian Breaks (LMA 5),1979,0,418,297,60.54,12.54,140,48.19,null,null
Texas,Canadian Breaks (LMA 5),1980,0,320,318,7.07,9.72,138,-1.81,null,null
Texas,Canadian Breaks (LMA 5),1981,0,471,226,-29.09,5.2,89,-35.22,null,null
Texas,Canadian Breaks (LMA 5),1982,0,640,310,37.47,9.16,115,29.48,null,null
Texas,Canadian Breaks (LMA 5),1983,0,591,250,-19.35,6.21,90,-22.38,null,null
Texas,Canadian Breaks (LMA 5),1984,0,631,290,16,-0.48,100,11.95,27,null
Texas,Canadian Breaks (LMA 5),1985,0,320,250,-13.79,-4.7,84,-16.44,null,null
Texas,Canadian Breaks (LMA 5),1986,0,616,200,-20,-2.37,66,-21.58,34,null
Texas,Canadian Breaks (LMA 5),1987,0,382,172,-14,-11.11,55,-16.07,24,null
Texas,Canadian Breaks (LMA 5),1988,0,320,162,-5.81,-8.31,50,-9.02,29,null
Texas,Canadian Breaks (LMA 5),1989,0,640,200,23.46,-7.16,60,18.79,null,null
Texas,Canadian Breaks (LMA 5),1990,0,1092,174,-13,-6.99,50,-16.15,null,null
Texas,Canadian Breaks (LMA 5),1991,0,640,200,14.94,0,56,11.19,31,null
Texas,Canadian Breaks (LMA 5),1992,0,874,162,-19.13,-1.22,44,-20.93,25,null
Texas,Canadian Breaks (LMA 5),1993,0,640,175,8.2,1.56,46,5.69,23,null
Texas,Canadian Breaks (LMA 5),1994,0,612,219,25.14,1.83,57,22.53,22,null
Texas,Canadian Breaks (LMA 5),1995,0,640,182,-17.12,0.85,46,-18.83,24,null
Texas,Canadian Breaks (LMA 5),1996,0,640,200,10.19,0,50,8.21,null,null
Texas,Canadian Breaks (LMA 5),1997,0,865,217,8.5,6.05,53,6.66,34,null
Texas,Canadian Breaks (LMA 5),1998,0,325,225,3.69,5.15,55,2.53,42,null
Texas,Canadian Breaks (LMA 5),1999,0,630,225,0,0.54,54,-1.42,31,null
Texas,Canadian Breaks (LMA 5),2000,0,635,240,6.67,5.75,56,4.33,31,null
Texas,Canadian Breaks (LMA 5),2001,0,458,300,25,8.45,69,22.31,null,null
Texas,Canadian Breaks (LMA 5),2002,0,471,255,-15,3.28,58,-16.32,32,null
Texas,Canadian Breaks (LMA 5),2003,0,542,267,4.57,3.46,59,2.67,33,null
Texas,Canadian Breaks (LMA 5),2004,0,400,373,39.75,10.62,80,36.09,23,null
Texas,Canadian Breaks (LMA 5),2005,0,640,377,1.17,9.45,79,-1.89,27,null
Texas,Canadian Breaks (LMA 5),2006,0,640,486,28.99,10.14,99,25.19,31,null
Texas,Canadian Breaks (LMA 5),2007,0,640,457,-5.97,12.39,90,-8.43,30,null
Texas,Canadian Breaks (LMA 5),2008,0,587,518,13.35,14.21,101,11.17,22,null
Texas,Canadian Breaks (LMA 5),2009,0,444,624,20.41,10.86,120,19.5,null,null
Texas,Canadian Breaks (LMA 5),2010,0,320,644,3.16,11.29,123,1.97,27,null
Texas,Canadian Breaks (LMA 5),2011,0,322,607,-5.78,4.52,113,-7.71,24,null
Texas,Canadian Breaks (LMA 5),2012,0,480,800,31.89,11.84,146,29.41,21,null
Texas,Canadian Breaks (LMA 5),2013,0,640,805,0.62,9.21,145,-1.11,null,null
Texas,Canadian Breaks (LMA 5),2014,0,640,1125,39.75,12.51,199,37.22,null,null
Texas,Canadian Breaks (LMA 5),2015,0,327,897,-20.25,6.86,157,-21,20,null
Texas,Canadian Breaks (LMA 5),2016,0,249,1291,43.92,16.31,223,42.42,null,null
Texas,Canadian Breaks (LMA 5),2017,0,597,1192,-7.65,8.31,203,-9.35,null,null
Texas,Canadian Breaks (LMA 5),2018,0,577,850,-28.71,1.1,141,-30.39,21,null
Texas,Canadian Breaks (LMA 5),2019,0,632,855,0.62,-5.33,139,-1.15,null,null
Texas,Canadian Breaks (LMA 5),2020,0,640,1066,24.68,3.52,172,23.2,41,null
Texas,Rolling Plains - North (LMA 6),1971,0,318,104,0.48,-1.38,84,-4.36,150,null
Texas,Rolling Plains - North (LMA 6),1972,0,240,120,14.83,1.76,92,10.09,233,null
Texas,Rolling Plains - North (LMA 6),1973,0,282,129,7.5,5.22,94,1.91,221,null
Texas,Rolling Plains - North (LMA 6),1974,0,285,155,20.16,9.16,104,10.21,229,null
Texas,Rolling Plains - North (LMA 6),1975,0,306,150,-3.23,7.6,92,-11.39,116,null
Texas,Rolling Plains - North (LMA 6),1976,0,303,175,16.67,10.86,102,10.56,179,null
Texas,Rolling Plains - North (LMA 6),1977,0,286,200,14.29,10.76,109,7.61,169,null
Texas,Rolling Plains - North (LMA 6),1978,0,177,246,23,13.78,126,14.94,162,null
Texas,Rolling Plains - North (LMA 6),1979,0,260,250,1.63,10.03,118,-6.19,155,null
Texas,Rolling Plains - North (LMA 6),1980,0,214,298,19.4,14.75,129,9.49,84,null
Texas,Rolling Plains - North (LMA 6),1981,0,302,292,-2.18,10.78,115,-10.63,106,null
Texas,Rolling Plains - North (LMA 6),1982,0,282,300,2.74,8.45,112,-3.24,71,null
Texas,Rolling Plains - North (LMA 6),1983,0,280,294,-2,3.63,105,-5.67,57,null
Texas,Rolling Plains - North (LMA 6),1984,0,262,318,8.33,4.96,110,4.55,74,null
Texas,Rolling Plains - North (LMA 6),1985,0,254,225,-29.36,-5.5,75,-31.52,80,null
Texas,Rolling Plains - North (LMA 6),1986,0,256,200,-11.33,-7.34,66,-13.09,86,null
Texas,Rolling Plains - North (LMA 6),1987,0,320,188,-5.76,-8.92,60,-8.03,85,null
Texas,Rolling Plains - North (LMA 6),1988,0,220,208,10.64,-6.69,64,6.87,97,null
Texas,Rolling Plains - North (LMA 6),1989,0,269,200,-3.61,-8.84,60,-7.25,104,null
Texas,Rolling Plains - North (LMA 6),1990,0,320,200,-0.25,-2.33,57,-3.86,79,null
Texas,Rolling Plains - North (LMA 6),1991,0,320,200,0,0.05,56,-3.27,119,null
Texas,Rolling Plains - North (LMA 6),1992,0,240,203,1.5,1.55,55,-0.76,91,null
Texas,Rolling Plains - North (LMA 6),1993,0,269,200,-1.48,-0.78,53,-3.76,122,null
Texas,Rolling Plains - North (LMA 6),1994,0,320,226,13,2.42,59,10.64,112,null
Texas,Rolling Plains - North (LMA 6),1995,0,212,247,9.29,4.31,63,7.04,118,null
Texas,Rolling Plains - North (LMA 6),1996,0,278,225,-8.91,2.38,56,-10.54,80,null
Texas,Rolling Plains - North (LMA 6),1997,0,308,225,0,2.08,55,-1.7,102,null
Texas,Rolling Plains - North (LMA 6),1998,0,238,250,11.11,4.56,61,9.88,145,null
Texas,Rolling Plains - North (LMA 6),1999,0,317,244,-2.4,1.54,58,-3.79,121,null
Texas,Rolling Plains - North (LMA 6),2000,0,295,275,12.7,2.17,64,10.24,120,null
Texas,Rolling Plains - North (LMA 6),2001,0,321,300,9.09,5.92,69,6.74,164,null
Texas,Rolling Plains - North (LMA 6),2002,0,281,314,4.58,6.88,71,2.96,136,null
Texas,Rolling Plains - North (LMA 6),2003,0,320,350,11.55,6.96,78,9.53,129,null
Texas,Rolling Plains - North (LMA 6),2004,0,337,400,14.28,10.39,86,11.28,190,null
Texas,Rolling Plains - North (LMA 6),2005,0,378,500,25.01,12.7,105,21.23,149,null
Texas,Rolling Plains - North (LMA 6),2006,0,327,600,20,14.87,122,16.47,158,null
Texas,Rolling Plains - North (LMA 6),2007,0,320,721,20.18,18.11,143,17.04,133,null
Texas,Rolling Plains - North (LMA 6),2008,0,318,875,21.35,20.11,170,19.02,128,null
Texas,Rolling Plains - North (LMA 6),2009,0,279,805,-8,15.01,155,-8.69,96,null
Texas,Rolling Plains - North (LMA 6),2010,0,317,850,5.59,11.2,162,4.38,83,null
Texas,Rolling Plains - North (LMA 6),2011,0,320,848,-0.24,7.16,158,-2.28,81,null
Texas,Rolling Plains - North (LMA 6),2012,0,279,858,1.23,3.55,157,-0.68,114,null
Texas,Rolling Plains - North (LMA 6),2013,0,327,952,10.9,1.7,171,8.99,94,null
Texas,Rolling Plains - North (LMA 6),2014,0,320,934,-1.9,3.01,165,-3.68,108,null
Texas,Rolling Plains - North (LMA 6),2015,0,251,1008,7.95,3.47,176,6.93,89,null
Texas,Rolling Plains - North (LMA 6),2016,0,323,1000,-0.8,3.35,173,-1.83,63,null
Texas,Rolling Plains - North (LMA 6),2017,0,240,1000,0,3.1,170,-1.84,99,null
Texas,Rolling Plains - North (LMA 6),2018,0,291,1050,5,1.98,174,2.54,77,null
Texas,Rolling Plains - North (LMA 6),2019,0,320,1150,9.52,4.25,187,7.6,126,null
Texas,Rolling Plains - North (LMA 6),2020,0,345,1125,-2.17,2.22,181,-3.34,177,null
Texas,Rolling Plains - Central (LMA 7),1971,0,161,168,5.66,3.71,135,0.57,121,null
Texas,Rolling Plains - Central (LMA 7),1972,0,199,187,11.31,4.51,144,6.71,194,null
Texas,Rolling Plains - Central (LMA 7),1973,0,211,190,1.6,4.84,139,-3.68,149,null
